,geometry_id,hit_id,channel0,channel1,timestamp,value,volume_id,boundary_id,layer_id,module_id,cx,cy,cz,rot_xu,rot_xv,rot_xw,rot_yu,rot_yv,rot_yw,rot_zu,rot_zv,rot_zw,bounds_type,bound_param0,bound_param1,bound_param2,bound_param3,bound_param4,bound_param5,bound_param6,module_t,pitch_u,pitch_v,x_global,y_global,z_global,radius
95696,936748859932017664,22898,189,74,0,0.225122198,13,0,2,4,-222.965408,-136.633377,-1030.0,0.389214516,0.0,-0.921147168,-0.921147168,0.0,-0.389214516,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-217.08048451808,-150.56112218016,-941.2,261.5000054971904
95697,936748859932017664,22899,348,84,0,0.212570757,13,0,2,4,-222.965408,-136.633377,-1030.0,0.389214516,0.0,-0.921147168,-0.921147168,0.0,-0.389214516,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-212.12967587456,-162.27811415712,-929.2,261.5000054971904
95698,936748859932017664,22899,348,83,0,0.73730135,13,0,2,4,-222.965408,-136.633377,-1030.0,0.389214516,0.0,-0.921147168,-0.921147168,0.0,-0.389214516,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-212.12967587456,-162.27811415712,-930.4,261.5000054971904
95699,936748859932018176,22900,410,73,0,0.0633849278,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-148.3527215064,-223.6360435128,-942.4,261.4999964457952
95700,936748859932018176,22900,410,72,0,0.7352314,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-148.3527215064,-223.6360435128,-943.6,261.4999964457952
95701,936748859932018176,22900,411,72,0,0.154549584,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-148.30033629544,-223.69650664088,-943.6,261.4999964457952
95702,936748859932018176,22901,218,51,0,0.485754758,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-158.41068201072,-212.02712292144,-968.8,261.4999964457952
95703,936748859932018176,22901,218,50,0,0.553238571,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-158.41068201072,-212.02712292144,-970.0,261.4999964457952
95704,936748859932018176,22902,261,83,0,0.548685849,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-156.15811793944,-214.62703742888,-930.4,261.4999964457952
95705,936748859932018176,22902,261,82,0,0.43937102,13,0,2,6,-169.830658,-198.846161,-1030.0,0.654815137,0.0,-0.755789101,-0.755789101,0.0,-0.654815137,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-156.15811793944,-214.62703742888,-931.6,261.4999964457952
95706,936748859932018688,22903,466,74,0,0.68097651,13,0,2,8,-100.071716,-241.594498,-1030.0,0.856317878,0.0,-0.516449153,-0.516449153,0.0,-0.856317878,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-68.14818550816,-260.84772242383997,-941.2,261.4999996310835
95707,936748859932018688,22903,466,73,0,0.320187718,13,0,2,8,-100.071716,-241.594498,-1030.0,0.856317878,0.0,-0.516449153,-0.516449153,0.0,-0.856317878,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,-68.14818550816,-260.84772242383997,-942.4,261.4999996310835
95708,936748859932019712,22904,552,48,0,0.250761777,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,105.04419978832,-250.49839686828798,-972.4,261.49999997322317
95709,936748859932019712,22904,553,48,0,0.616237938,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,105.12390673848,-250.491555677832,-972.4,261.49999997322317
95710,936748859932019712,22904,553,47,0,0.186225533,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,105.12390673848,-250.491555677832,-973.6,261.49999997322317
95711,936748859932019712,22905,153,37,0,0.464859605,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,73.24112667448,-253.228031860232,-985.6,261.49999997322317
95712,936748859932019712,22905,154,37,0,0.464821428,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,73.32083362464,-253.221190669776,-985.6,261.49999997322317
95713,936748859932019712,22905,154,36,0,0.170272917,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,73.32083362464,-253.221190669776,-986.8,261.49999997322317
95714,936748859932019712,22905,155,36,0,0.089229174,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,73.4005405748,-253.21434947932,-986.8,261.49999997322317
95715,936748859932019712,22906,498,47,0,0.0363927856,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,100.74002447967999,-250.867821152912,-973.6,261.49999997322317
95716,936748859932019712,22906,498,46,0,1.02522027,13,0,2,12,61.0459633,-254.274734,-1030.0,0.996336877,0.0,0.0855148807,0.0855148807,0.0,-0.996336877,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,100.74002447967999,-250.867821152912,-974.8,261.49999997322317
95717,936748859932019968,22907,23,69,0,0.116110906,13,0,2,13,100.071716,-241.594498,-1030.0,0.970692873,0.0,0.240323484,0.240323484,0.0,-0.970692873,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,101.85779088631999,-241.15230278944,-947.2,261.4999996310835
95718,936748859932019968,22907,23,68,0,0.8870278,13,0,2,13,100.071716,-241.594498,-1030.0,0.970692873,0.0,0.240323484,0.240323484,0.0,-0.970692873,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,101.85779088631999,-241.15230278944,-948.4,261.4999996310835
95719,936748859932020480,22908,269,44,0,0.0313073806,13,0,2,15,169.830658,-198.846161,-1030.0,0.848919749,0.0,0.528521776,0.528521776,0.0,-0.848919749,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,188.09941099848,-187.47237238047998,-977.2,261.4999964457952
95720,936748859932020480,22908,270,44,0,0.225849479,13,0,2,15,169.830658,-198.846161,-1030.0,0.848919749,0.0,0.528521776,0.528521776,0.0,-0.848919749,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,188.1673245784,-187.4300906384,-977.2,261.4999964457952
95721,936748859932020480,22908,270,43,0,0.806158721,13,0,2,15,169.830658,-198.846161,-1030.0,0.848919749,0.0,0.528521776,0.528521776,0.0,-0.848919749,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,188.1673245784,-187.4300906384,-978.4,261.4999964457952
95722,936748859932020736,22909,231,56,0,0.746869981,13,0,2,16,198.846161,-169.830658,-1030.0,0.755789101,0.0,0.654815137,0.654815137,0.0,-0.755789101,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,212.81314358648,-157.72967426824,-962.8,261.4999964457952
95723,936748859932020736,22909,231,55,0,0.257100672,13,0,2,16,198.846161,-169.830658,-1030.0,0.755789101,0.0,0.654815137,0.654815137,0.0,-0.755789101,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,212.81314358648,-157.72967426824,-964.0,261.4999964457952
95724,936748859932021248,22910,564,55,0,0.670747221,13,0,2,18,241.594498,-100.071716,-1030.0,0.516449153,0.0,0.856317878,0.856317878,0.0,-0.516449153,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,264.89668378336,-61.43465334464,-964.0,261.4999996310835
95725,936748859932021248,22910,564,54,0,0.360033333,13,0,2,18,241.594498,-100.071716,-1030.0,0.516449153,0.0,0.856317878,0.856317878,0.0,-0.516449153,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,264.89668378336,-61.43465334464,-965.2,261.4999996310835
95726,936748859932021504,22911,95,69,0,0.567114651,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,257.1333461224,-54.0040648312,-947.2,261.49999997322317
95727,936748859932021504,22911,95,68,0,0.139744282,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,257.1333461224,-54.0040648312,-948.4,261.49999997322317
95728,936748859932021504,22911,96,68,0,0.323275805,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,257.16343677632,-53.929939584159996,-948.4,261.49999997322317
95729,936748859932021504,22912,91,52,0,0.698904574,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,257.01298350672,-54.300565819359996,-967.6,261.49999997322317
